,_c4,_c5,count
0,60f0bfa4-8da9-4840-b5fe-23c1fc470f34,Jolene,1214
1,db4c9220-df76-4b42-b6f5-8bf52cc80f77,Heartbeats,868
2,c2b14074-15d6-40cf-a27d-958ab7a8ee2d,How Long Will It Take,726
3,91951530-d978-4648-95b1-08b1f49ffba5,Anthems For A Seventeen Year Old Girl,659
4,45c773c3-c8f0-41a1-b5a5-c241a3baebfa,St. Ides Heaven,646
5,,Bonus Track,644
6,b649b4ba-4912-4add-8bb1-c7f705deceeb,Starin' Through My Rear View,617
7,55956d3e-c5d4-4332-a377-bf77c463656e,Beast Of Burden,613
8,9ad11ca6-c5b9-4a26-9b3b-3943d91eac01,The Swing,604
9,82558949-cd98-4c58-af35-3f1a9430d52e,See You In My Nightmares,536
